id,date,store_nbr,family,sales,onpromotion
2898435,2017-06-19,34,GROCERY I,3600.992,68
2548562,2016-12-04,18,BREAD/BAKERY,915.0,104
94419,2013-02-22,9,CELEBRATION,0.0,0
540886,2013-10-31,35,HOME AND KITCHEN II,0.0,0
2373453,2016-08-27,53,PLAYERS AND ELECTRONICS,17.0,0
112853,2013-03-05,25,PET SUPPLIES,0.0,0
1502534,2015-04-26,18,FROZEN FOODS,52.0,0
2108521,2016-04-01,20,LADIESWEAR,9.0,0
371014,2013-07-28,19,POULTRY,27.696,0
694589,2014-01-26,48,BREAD/BAKERY,1077.487,0
729949,2014-02-15,4,"LIQUOR,WINE,BEER",431.0,0
594932,2013-11-30,51,DAIRY,1589.0,0
466779,2013-09-19,6,PLAYERS AND ELECTRONICS,0.0,0
2884309,2017-06-11,38,EGGS,203.0,3
2606977,2017-01-06,7,EGGS,314.0,31
810850,2014-04-02,10,CLEANING,862.0,0
1354528,2015-02-02,15,EGGS,148.0,0
2129543,2016-04-13,10,LAWN AND GARDEN,0.0,0
726811,2014-02-13,51,LADIESWEAR,0.0,0
1771587,2015-09-24,17,HOME AND KITCHEN I,3.0,0
2651180,2017-01-31,46,PET SUPPLIES,18.0,0
2328340,2016-08-02,38,PERSONAL CARE,348.0,2
1096827,2014-09-09,34,CELEBRATION,10.0,0
2335254,2016-08-06,32,DELI,120.0,0
2681996,2017-02-18,11,LAWN AND GARDEN,3.0,0
1504186,2015-04-27,14,GROCERY II,8.0,0
2135546,2016-04-16,29,HOME APPLIANCES,0.0,0
1716178,2015-08-24,12,GROCERY II,5.0,0
616006,2013-12-12,42,POULTRY,0.0,0
1047562,2014-08-12,51,EGGS,250.0,0
2412017,2016-09-18,36,HARDWARE,0.0,0
2258949,2016-06-24,41,AUTOMOTIVE,6.0,0
426871,2013-08-28,36,HOME AND KITCHEN II,0.0,0
326052,2013-07-02,8,GROCERY I,3854.0,0
1916409,2015-12-14,30,AUTOMOTIVE,6.0,0
924977,2014-06-05,12,LAWN AND GARDEN,0.0,0
1824460,2015-10-23,5,"LIQUOR,WINE,BEER",68.0,2
2803890,2017-04-27,31,GROCERY I,3693.063,65
1220099,2014-11-17,42,MAGAZINES,0.0,0
201525,2013-04-24,13,PLAYERS AND ELECTRONICS,0.0,0
936225,2014-06-11,28,HOME AND KITCHEN I,0.0,0
2713260,2017-03-07,39,AUTOMOTIVE,13.0,0
2113893,2016-04-04,21,GROCERY I,3760.714,46
769440,2014-03-09,48,GROCERY I,13796.0,0
204262,2013-04-25,4,PERSONAL CARE,160.0,0
1354263,2015-02-01,8,DELI,449.086,0
823070,2014-04-08,52,HOME APPLIANCES,0.0,0
533541,2013-10-27,29,PRODUCE,0.0,0
1108413,2014-09-16,1,DELI,111.023,0
2725991,2017-03-14,45,PET SUPPLIES,20.0,1
1508512,2015-04-29,35,HOME AND KITCHEN II,9.0,0
1091695,2014-09-06,4,"LIQUOR,WINE,BEER",171.0,0
452340,2013-09-11,50,DELI,362.319,0
155045,2013-03-29,1,FROZEN FOODS,23.0,0
765313,2014-03-07,32,EGGS,83.0,0
1267758,2014-12-14,3,PRODUCE,10838.412,0
1873708,2015-11-20,32,BABY CARE,0.0,0
721422,2014-02-10,50,DELI,428.646,0
936856,2014-06-11,45,LADIESWEAR,0.0,0
84327,2013-02-17,25,GROCERY I,787.0,0
538351,2013-10-30,14,"LIQUOR,WINE,BEER",6.0,0
2214836,2016-05-30,53,DAIRY,867.0,154
36501,2013-01-21,33,BEVERAGES,733.0,0
1347243,2015-01-29,10,HOME CARE,0.0,0
890675,2014-05-16,5,BREAD/BAKERY,301.717,0
2140628,2016-04-19,21,HOME APPLIANCES,0.0,0
335719,2013-07-08,29,EGGS,0.0,0
147538,2013-03-24,48,POULTRY,1108.9141,0
476626,2013-09-25,32,CLEANING,228.0,0
51587,2013-01-29,7,DAIRY,609.0,0
587890,2013-11-26,53,POULTRY,0.0,0
965246,2014-06-27,41,PREPARED FOODS,47.519,1
1126172,2014-09-25,8,HARDWARE,3.0,0
2504658,2016-11-09,35,MEATS,149.377,0
272929,2013-06-03,17,LADIESWEAR,0.0,0
560872,2013-11-11,46,BOOKS,0.0,0
2835037,2017-05-14,6,CLEANING,1346.0,30
2892550,2017-06-16,2,BABY CARE,0.0,0
2648412,2017-01-30,19,PRODUCE,413.548,1
1422649,2015-03-12,26,LADIESWEAR,0.0,0
1485342,2015-04-16,35,GROCERY I,1853.0,12
2910425,2017-06-26,20,MAGAZINES,0.0,0
2145467,2016-04-21,8,BREAD/BAKERY,666.982,0
2527059,2016-11-22,14,HOME CARE,204.0,7
1185769,2014-10-29,3,GROCERY II,78.0,0
